entry_id,driver_name,driver_code,driver_nationality,codriver_name,manufacturer,car_number,car_model,group
9009001,Thierry Neuville,THI,,Martijn Wydaeghe,Hyundai,1,Hyundai i20 N Rally1,WRC
9009002,Sami Pajari,SAM,,Marko Salminen,Toyota,5,Toyota GR Yaris Rally1,WRC
9009003,Ott Tänak,OTT,,Martin Järveoja,Hyundai,8,Hyundai i20 N Rally1,WRC
9009004,Jourdan Serderidis,JOU,,Frédéric Miclotte,Ford,9,Ford Puma Rally1,WRC
9009005,Grégoire Munster,GRÉ,,Louis Louka,Ford,13,Ford Puma Rally1,WRC
9009006,Adrien Fourmaux,ADR,,Alexandre Coria,Hyundai,16,Hyundai i20 N Rally1,WRC
9009007,Takamoto Katsuta,TAK,,Aaron Johnston,Toyota,18,Toyota GR Yaris Rally1,WRC
9009008,Mārtiņš Sesks,MĀR,,Renārs Francis,Ford,22,Ford Puma Rally1,WRC
9009009,Elfyn Evans,ELF,,Scott Martin,Toyota,33,Toyota GR Yaris Rally1,WRC
9009010,Lorenzo Bertelli,LOR,,Simone Scattolin,Toyota,37,Toyota GR Yaris Rally1,WRC
9009011,Josh McErlean,JOS,,Eoin Treacy,Ford,55,Ford Puma Rally1,WRC
9009012,Kalle Rovanperä,KAL,,Jonne Halttunen,Toyota,69,Toyota GR Yaris Rally1,WRC
9009013,Oliver Solberg,OLI,,Elliott Edmondson,Toyota,20,Toyota GR Yaris Rally2,WRC2
9009014,Georg Linnamäe,GEO,,James Morgan,Toyota,21,Toyota GR Yaris Rally2,WRC2
9009015,Roope Korhonen,ROO,,Anssi Viinikka,Toyota,23,Toyota GR Yaris Rally2,WRC2
9009016,Pontus Tidemand,PON,,Jørgen Eriksen,Škoda,24,Škoda Fabia RS Rally2,WRC2
9009017,Mikko Heikkilä,MIK,,Kristian Temonen,Škoda,25,Škoda Fabia RS Rally2,WRC2
9009018,Lauri Joona,LAU,,Samu Vaaleri,Škoda,26,Škoda Fabia RS Rally2,WRC2
9009019,Fabrizio Zaldivar,FAB,,Marcelo Der Ohannesian,Škoda,27,Škoda Fabia RS Rally2,WRC2
9009020,Isak Reiersen,ISA,,Stefan Gustavsson,Škoda,29,Škoda Fabia RS Rally2,WRC2
9009021,Romet Jürgenson,ROM,,Siim Oja,Ford,30,Ford Fiesta Rally2,WRC2
9009022,Hikaru Kogure,HIK,,Topi Matias Luhtinen,Toyota,31,Toyota GR Yaris Rally2,WRC2
9009023,Yuki Yamamoto,YUK,,James Fulton,Toyota,32,Toyota GR Yaris Rally2,WRC2
9009024,Tuukka Kauppinen,TUU,,Sebastian Virtanen,Toyota,34,Toyota GR Yaris Rally2,WRC2
9009025,Michał Sołowow,MIC,,Maciej Baran,Toyota,35,Toyota GR Yaris Rally2,WRC2
9009026,Filip Kohn,FIL,,Ross Whittock,Škoda,36,Škoda Fabia RS Rally2,WRC2
9009027,Bernhard ten Brinke,BER,,Tom Woodburn,Škoda,38,Škoda Fabia RS Rally2,WRC2
9009028,Jarosław Kołtun,JAR,,Ireneusz Pleskot,Škoda,39,Škoda Fabia RS Rally2,WRC2
9009029,Alejandro Mauro,ALE,,Adrián Pérez,Škoda,40,Škoda Fabia RS Rally2,WRC2
9009030,Uğur Soylu,UĞU,,Sener Güray,Škoda,41,Škoda Fabia RS Rally2,WRC2
9009031,Miguel Granados,MIG,,Marc Martí,Škoda,42,Škoda Fabia RS Rally2,WRC2
9009032,Rachele Somaschini,RAC,,Nicola Arena,Citroën,43,Citroën C3 Rally2,WRC2
9009033,Mattéo Chatillon,MAT,,Maxence Cornuau,Renault,44,Renault Clio Rally3,WRC3
9009034,Matteo Fontana,MAT,,Alessandro Arnaboldi,Ford,45,Ford Fiesta Rally3,WRC3
