event_id,stage_id,entry_id,position,total_time_ms,total_time_s,total_time_str,diff_first_ms,diff_first_s,status,stage_code
90090,90090999,9009009,1,9219200,9219.2,2:33:39.2,0,0.0,Completed,FINAL
90090,90090999,9009007,2,9223000,9223.0,2:33:43.0,3800,3.8,Completed,FINAL
90090,90090999,9009001,3,9231100,9231.1,2:33:51.1,11900,11.9,Completed,FINAL
90090,90090999,9009003,4,9236000,9236.0,2:33:56.0,16800,16.8,Completed,FINAL
90090,90090999,9009012,5,9252000,9252.0,2:34:12.0,32800,32.8,Completed,FINAL
90090,90090999,9009008,6,9348600,9348.6,2:35:48.6,129400,129.4,Completed,FINAL
90090,90090999,9009002,7,9366200,9366.2,2:36:06.2,147000,147.0,Completed,FINAL
90090,90090999,9009005,8,9467800,9467.8,2:37:47.8,248600,248.6,Completed,FINAL
90090,90090999,9009004,33,10816400,10816.4,3:00:16.4,1597200,1597.2,Completed,FINAL
90090,90090999,9009006,40,11204800,11204.8,3:06:44.8,1985600,1985.6,Completed,FINAL
90090,90090999,9009011,46,12551100,12551.1,3:29:11.1,3331900,3331.9,Completed,FINAL
