event_id,stage_id,entry_id,position,total_time_ms,total_time_s,total_time_str,diff_first_ms,diff_first_s,status,stage_code,retirement_stage
89918,89918999,8991801,1,11946100,11946.1,3:19:06.1,0,0.0,Completed,FINAL,
89918,89918999,8991802,2,11964600,11964.6,3:19:24.6,18500,18.5,Completed,FINAL,
89918,89918999,8991803,3,11972100,11972.1,3:19:32.1,26000,26.0,Completed,FINAL,
89918,89918999,8991804,4,12000400,12000.4,3:20:00.4,54300,54.3,Completed,FINAL,
89918,89918999,8991805,5,12005100,12005.1,3:20:05.1,59000,59.0,Completed,FINAL,
89918,89918999,8991806,6,12290300,12290.3,3:24:50.3,344200,344.2,Completed,FINAL,
89918,89918999,8991807,7,12561200,12561.2,3:29:21.2,615100,615.1,Completed,FINAL,
89918,89918999,8991808,8,12572900,12572.9,3:29:32.9,626800,626.8,Completed,FINAL,
89918,89918999,8991809,9,12646800,12646.8,3:30:46.8,700700,700.7,Completed,FINAL,
89918,89918999,8991810,10,12740700,12740.7,3:32:20.7,794600,794.6,Completed,FINAL,
89918,89918999,8991811,11,12746800,12746.8,3:32:26.8,800700,800.7,Completed,FINAL,
89918,89918999,8991812,12,12747800,12747.8,3:32:27.8,801700,801.7,Completed,FINAL,
89918,89918999,8991813,13,12966900,12966.9,3:36:06.9,1020800,1020.8,Completed,FINAL,
89918,89918999,8991814,14,12993800,12993.8,3:36:33.8,1047700,1047.7,Completed,FINAL,
89918,89918999,8991815,15,13113800,13113.8,3:38:33.75,1167600,1167.6,Completed,FINAL,
89918,89918999,8991816,16,13373800,13373.8,3:42:53.8,1427700,1427.7,Completed,FINAL,
89918,89918999,8991817,17,13428300,13428.3,3:43:48.3,1482200,1482.2,Completed,FINAL,
89918,89918999,8991818,18,13429500,13429.5,3:43:49.5,1483400,1483.4,Completed,FINAL,
89918,89918999,8991819,19,13473300,13473.3,3:44:33.3,1527200,1527.2,Completed,FINAL,
89918,89918999,8991820,20,13481100,13481.1,3:44:41.1,1535000,1535.0,Completed,FINAL,
89918,89918999,8991821,21,13484900,13484.9,3:44:44.9,1538800,1538.8,Completed,FINAL,
89918,89918999,8991822,22,13621600,13621.6,3:47:01.6,1675500,1675.5,Completed,FINAL,
89918,89918999,8991823,23,13700200,13700.2,3:48:20.2,1754100,1754.1,Completed,FINAL,
89918,89918999,8991824,24,13716600,13716.6,3:48:36.6,1770500,1770.5,Completed,FINAL,
89918,89918999,8991825,25,13787600,13787.6,3:49:47.6,1841500,1841.5,Completed,FINAL,
89918,89918999,8991826,26,13856000,13856.0,3:50:56.0,1909900,1909.9,Completed,FINAL,
89918,89918999,8991827,27,14095700,14095.7,3:54:55.7,2149600,2149.6,Completed,FINAL,
89918,89918999,8991828,28,14143600,14143.6,3:55:43.6,2197500,2197.5,Completed,FINAL,
89918,89918999,8991829,29,14246500,14246.5,3:57:26.5,2300400,2300.4,Completed,FINAL,
89918,89918999,8991830,30,14306000,14306.0,3:58:26.0,2359900,2359.9,Completed,FINAL,
89918,89918999,8991831,31,14365000,14365.0,3:59:25.0,2418900,2418.9,Completed,FINAL,
89918,89918999,8991832,32,14370100,14370.1,3:59:30.1,2424000,2424.0,Completed,FINAL,
89918,89918999,8991833,33,14536600,14536.6,4:02:16.6,2590500,2590.5,Completed,FINAL,
89918,89918999,8991834,34,14604700,14604.7,4:03:24.7,2658600,2658.6,Completed,FINAL,
89918,89918999,8991835,35,14787400,14787.4,4:06:27.4,2841300,2841.3,Completed,FINAL,
89918,89918999,8991836,36,14821500,14821.5,4:07:01.5,2875400,2875.4,Completed,FINAL,
89918,89918999,8991837,37,14825800,14825.8,4:07:05.8,2879700,2879.7,Completed,FINAL,
89918,89918999,8991838,38,14928100,14928.1,4:08:48.1,2982000,2982.0,Completed,FINAL,
89918,89918999,8991839,39,14936400,14936.4,4:08:56.4,2990300,2990.3,Completed,FINAL,
89918,89918999,8991840,40,14995900,14995.9,4:09:55.9,3049800,3049.8,Completed,FINAL,
89918,89918999,8991841,41,15052100,15052.1,4:10:52.1,3106000,3106.0,Completed,FINAL,
89918,89918999,8991842,42,15116600,15116.6,4:11:56.60,3170500,3170.5,Completed,FINAL,
89918,89918999,8991843,43,15133500,15133.5,4:12:13.5,3187400,3187.4,Completed,FINAL,
89918,89918999,8991844,44,15257300,15257.3,4:14:17.3,3311200,3311.2,Completed,FINAL,
89918,89918999,8991845,45,15385700,15385.7,4:16:25.7,3439600,3439.6,Completed,FINAL,
89918,89918999,8991846,46,15475000,15475.0,4:17:55.0,3528900,3528.9,Completed,FINAL,
89918,89918999,8991847,47,15676200,15676.2,4:21:16.2,3730100,3730.1,Completed,FINAL,
89918,89918999,8991848,48,15706900,15706.9,4:21:46.9,3760800,3760.8,Completed,FINAL,
89918,89918999,8991849,49,15775500,15775.5,4:22:55.5,3829400,3829.4,Completed,FINAL,
89918,89918999,8991850,50,15830200,15830.2,4:23:50.20,3884100,3884.1,Completed,FINAL,
89918,89918999,8991851,51,15831500,15831.5,4:23:51.5,3885400,3885.4,Completed,FINAL,
89918,89918999,8991852,52,15838000,15838.0,4:23:58.0,3891900,3891.9,Completed,FINAL,
