event_id,stage_id,entry_id,position,total_time_ms,total_time_s,total_time_str,diff_first_ms,diff_first_s,status,stage_code
1,101,201,1,834500,834.5,00:13:54.500,0,0.0,0,SS1
1,101,202,2,836200,836.2,00:13:56.200,1700,1.7,0,SS1
1,101,203,3,837800,837.8,00:13:57.800,3300,3.3,0,SS1
1,101,205,4,839100,839.1,00:13:59.100,4600,4.6,0,SS1
1,101,204,5,841000,841.0,00:14:01.000,6500,6.5,0,SS1
1,101,206,6,844300,844.3,00:14:04.300,9800,9.8,0,SS1
1,102,201,1,1408000,1408.0,00:23:28.000,0,0.0,0,SS2
1,102,203,2,1409800,1409.8,00:23:29.800,1800,1.8,0,SS2
1,102,202,3,1413600,1413.6,00:23:33.600,5600,5.6,0,SS2
1,102,205,4,1414300,1414.3,00:23:34.300,6300,6.3,0,SS2
1,102,204,5,1420800,1420.8,00:23:40.800,12800,12.8,0,SS2
1,102,206,6,1427400,1427.4,00:23:47.400,19400,19.4,0,SS2
1,103,201,1,2426000,2426.0,00:40:26.000,0,0.0,0,SS3
1,103,203,2,2430300,2430.3,00:40:30.300,4300,4.3,0,SS3
1,103,202,3,2435700,2435.7,00:40:35.700,9700,9.7,0,SS3
1,103,205,4,2439600,2439.6,00:40:39.600,13600,13.6,0,SS3
1,103,204,5,2449500,2449.5,00:40:49.500,23500,23.5,0,SS3
1,103,206,6,2461600,2461.6,00:41:01.600,35600,35.6,0,SS3
1,104,201,1,3158800,3158.8,00:52:38.800,0,0.0,0,SS4
1,104,203,2,3166300,3166.3,00:52:46.300,7500,7.5,0,SS4
1,104,202,3,3166900,3166.9,00:52:46.900,8100,8.1,0,SS4
1,104,205,4,3174100,3174.1,00:52:54.100,15300,15.3,0,SS4
1,104,204,5,3188900,3188.9,00:53:08.900,30100,30.1,0,SS4
1,104,206,6,3204700,3204.7,00:53:24.700,45900,45.9,0,SS4
1,105,201,1,3988500,3988.5,01:06:28.500,0,0.0,0,SS5
1,105,203,2,3997500,3997.5,01:06:37.500,9000,9.0,0,SS5
1,105,202,3,4000700,4000.7,01:06:40.700,12200,12.2,0,SS5
1,105,205,4,4002400,4002.4,01:06:42.400,13900,13.9,0,SS5
1,105,204,5,4025400,4025.4,01:07:05.400,36900,36.9,0,SS5
1,105,206,6,4045700,4045.7,01:07:25.700,57200,57.2,0,SS5
