event_id,stage_id,entry_id,position,time_ms,time_s,time_str,diff_first_ms,diff_first_s,diff_prev_ms,diff_prev_s,status,stage_code
1,101,201,1,834500,834.5,00:13:54.500,0,0.0,0,0.0,Completed,SS1
1,101,202,2,836200,836.2,00:13:56.200,1700,1.7,1700,1.7,Completed,SS1
1,101,203,3,837800,837.8,00:13:57.800,3300,3.3,1600,1.6,Completed,SS1
1,101,205,4,839100,839.1,00:13:59.100,4600,4.6,1300,1.3,Completed,SS1
1,101,204,5,841000,841.0,00:14:01.000,6500,6.5,1900,1.9,Completed,SS1
1,101,206,6,844300,844.3,00:14:04.300,9800,9.8,3300,3.3,Completed,SS1
1,102,203,1,572000,572.0,00:09:32.000,0,0.0,0,0.0,Completed,SS2
1,102,201,2,573500,573.5,00:09:33.500,1500,1.5,1500,1.5,Completed,SS2
1,102,205,3,575200,575.2,00:09:35.200,3200,3.2,1700,1.7,Completed,SS2
1,102,202,4,577400,577.4,00:09:37.400,5400,5.4,2200,2.2,Completed,SS2
1,102,204,5,579800,579.8,00:09:39.800,7800,7.8,2400,2.4,Completed,SS2
1,102,206,6,583100,583.1,00:09:43.100,11100,11.1,3300,3.3,Completed,SS2
1,103,201,1,1018000,1018.0,00:16:58.000,0,0.0,0,0.0,Completed,SS3
1,103,203,2,1020500,1020.5,00:17:00.500,2500,2.5,2500,2.5,Completed,SS3
1,103,202,3,1022100,1022.1,00:17:02.100,4100,4.1,1600,1.6,Completed,SS3
1,103,205,4,1025300,1025.3,00:17:05.300,7300,7.3,3200,3.2,Completed,SS3
1,103,204,5,1028700,1028.7,00:17:08.700,10700,10.7,3400,3.4,Completed,SS3
1,103,206,6,1034200,1034.2,00:17:14.200,16200,16.2,5500,5.5,Completed,SS3
1,104,202,1,731200,731.2,00:12:11.200,0,0.0,0,0.0,Completed,SS4
1,104,201,2,732800,732.8,00:12:12.800,1600,1.6,1600,1.6,Completed,SS4
1,104,205,3,734500,734.5,00:12:14.500,3300,3.3,1700,1.7,Completed,SS4
1,104,203,4,736000,736.0,00:12:16.000,4800,4.8,1500,1.5,Completed,SS4
1,104,204,5,739400,739.4,00:12:19.400,8200,8.2,3400,3.4,Completed,SS4
1,104,206,6,743100,743.1,00:12:23.100,11900,11.9,3700,3.7,Completed,SS4
1,105,205,1,828300,828.3,00:13:48.300,0,0.0,0,0.0,Completed,SS5
1,105,201,2,829700,829.7,00:13:49.700,1400,1.4,1400,1.4,Completed,SS5
1,105,203,3,831200,831.2,00:13:51.200,2900,2.9,1500,1.5,Completed,SS5
1,105,202,4,833800,833.8,00:13:53.800,5500,5.5,2600,2.6,Completed,SS5
1,105,204,5,836500,836.5,00:13:56.500,8200,8.2,2700,2.7,Completed,SS5
1,105,206,6,841000,841.0,00:14:01.000,12700,12.7,4500,4.5,Completed,SS5
